Pacific Historic Parks,1 Arizona Memorial Pl,Honolulu,Oahu,808-626-5366,360,https://pearlharbor.org/pearl-harbor-tour-comparison-chart/,historical,Purchase tickets early and arrive early. Contact MAW Hawaii office for details on special tour. Handicap-accessible. Be prepared for lots of walking.,1
Climbworks,Keana Farms 1 Enos Rd.,Kahuku,Oahu,808-200-7906,180,https://www.climbworks.com/keana_farms,adventure,You must be at least 7 years old to participate. Close-toed shoes required. You must weigh under 270 lbs to participate.,1
Sea Life Park,41-202 Kalanianaole Highway #7,Waimanalo,Oahu,808-259-2500,120,https://www.sealifeparkhawaii.com/,animals,Children 3-7 must be accompanied in water by adult. Biogradeable sunscreen only. Bring prepared to get wet. Handicap accessibility is limited.,1
Hanauma Bay State Park,7455 Kalanianaole Hwy,Honolulu,Oahu,808-396-4229,180,https://hanaumabaystatepark.com/,water,Snorkel gear is available for rent on location. Handicap-accessible. Beach wheelchairs are available and free of charge.,1
Atlantis Submarines Waikiki,252 Paoa Pl,Honolulu,Oahu,800-381-0237,120,https://atlantisadventures.com/waikiki,water,Various dinner cruise options available including kid-friendly activites. Check in 30 minutes prior to departure.,2
Waikiki Aquarium,2777 Kalakaua Ave,Honolulu,Oahu,808-923-9741,120,http://www.waikikiaquarium.org/,animals,Great for all ages.,2
Iolani Palace,364 S King St,Honolulu,Oahu,808-522-0832,120,	http://www.iolanipalace.org/,historical,Dress in a manner that is respectful of its cultural and historical significance. Shirts and footwear are required; no bathing suits or beachwear. Children under 5 are free.,2
Bishop Museum,1525 Bernice St,Honolulu,Oahu,808-847-3511,180,	https://www.bishopmuseum.org/,historical,Children under 4 are free. No large packpacks or bags permitted. Check out the Planetarium too!,2
Honolulu Zoo,151 Kapahlu Ave,Honolulu,Oahu,808-971-7171,240,http://honoluluzoo.org,animals,The zoo is 42 acres; be prepared for lots of walking!,1
Chief's Luau,400 Farrington Hwy,Kapolei,Oahu,877-357-2480,210,http://www.chiefsluau.com/,luau,Great for all ages.,1
